EDGAR Country Code;Country;Agriculture;Buildings;Fuel Exploitation;Industrial Combustion;Power Industry;Processes;Transport;Waste;Cluster
EST;Estonia;0,105938067652214;0,0375369477348493;0,2191857720829164;0,0274787169491681;0,4164123699457902;0,0279220381756752;0,1042289525157064;0,0612971349436801;0
ETH;Ethiopia;0,6428766570325692;0,0955656583644826;0,0968735776492929;0,02748724907568;7,104330319032822e-05;0,0256079329626692;0,0359957308507958;0,0755221507613197;1
FIN;Finland;0,1037947688730311;0,0765855368101959;0,0628357237388797;0,119462793303504;0,2926722297071228;0,0899642143259641;0,1777434449173046;0,0769412883239974;5
FJI;Fiji;0,237821860468571;0,0722968708559432;0,0027512850276383;0,0672963304004167;0,132819557161392;0,0858331250628725;0,2713810869990931;0,129799884024073;2
FLK;Falkland Islands;0,885493641314072;0,0088945372901123;0,0060349787115885;0,0056818267441093;0,0512314942620772;0,0019095074893507;0,0360042248740579;0,0047497893146317;1
FRA;France and Monaco;0,1684914055617311;0,1787179291635063;0,0502322866112057;0,0959948074256636;0,0883303937089999;0,0886069274737909;0,2771599998840747;0,0524662501710276;7
FRO;Faroes;0,7473743641225256;1,0996615313208205e-05;0,0;0,0;0,0;0,0072961898721451;0,0;0,245318449390016;2
GAB;Gabon;0,0112494883397416;0,0355861603818693;0,7650715239418329;0,0484018331033367;0,0559679112604409;0,0480236637735661;0,0230987328030261;0,0126006863961862;4
GBR;United Kingdom;0,1088179223168335;0,1797290813974623;0,0713603133688584;0,0720491008632873;0,2150769849750589;0,0579881206494152;0,2298954876087868;0,0650829888202974;7
GEO;Georgia;0,1713978523623828;0,1402782727248002;0,0204191194960307;0,0953598103758844;0,0691179181903441;0,170852041159505;0,2201661933273906;0,1124087923636617;5
GHA;Ghana;0,1775299362177021;0,0461633662465894;0,2047149842042142;0,0436334216124365;0,1292326985619058;0,0982562480203354;0,2153057035967589;0,0851636415400573;5
GIB;Gibraltar;0,0;4,978308345861304e-06;0,0;0,0;0,2191393323830466;0,0051365628999693;0,752359294578949;0,0233598318296891;3
GIN;Guinea;0,5872053809504828;0,0834808244685182;0,0556554901576985;0,0181721226309546;0,0316333515154459;0,0503789749663165;0,0837699521204409;0,0897039031901422;1
GLP;Guadeloupe;0,1229648572879963;0,0475250531474355;0,0067210197613374;0,0218428073140507;0,3740447527392822;0,0973585086881819;0,2673871050669597;0,0621558959947561;0
GMB;The Gambia;0,4263197887826114;0,082260994019184;0,1089633467503594;0,0316006273580633;0,0566130887985785;0,0115570125689962;0,1445133864136607;0,1381717553085463;1
GNB;Guinea-Bissau;0,5800740859665879;0,1315616200591948;0,0752751044905543;0,0141708821079813;0,0251363944505753;0,0114211224465992;0,0640426267236139;0,098318163754893;1
GNQ;Equatorial Guinea;0,0020316183451224;0,0133880444012729;0,6793493080221816;0,0969215140564836;0,0418509596143533;0,0930261290733373;0,0441133497059494;0,0293190767812989;4
GRC;Greece;0,0829182434352964;0,0812017684456617;0,0761672283012832;0,0605602338172148;0,3248382137304588;0,1195712610010096;0,201168434053751;0,0535746172153243;0
GRD;Grenada;0,0771464445817971;0,0578160787663072;1,44775917092864e-05;0,0406700612282416;0,3605131579449723;0,0289486453158844;0,2559725873405732;0,1789185472305147;2
GRL;Greenland;0,0092779629649785;0,4980966862668007;0,0101818981993521;0,0879706617555888;0,1517218552324321;0,0066998853084138;0,1488144619076504;0,0872365883647833;7
GTM;Guatemala;0,2798541929075075;0,0967619030206265;0,0130881032366579;0,0615983532904503;0,1040483908639879;0,0496694435190915;0,2229489598216602;0,172030653340018;2
GUF;French Guiana;0,0929823393451728;0,0697398091745825;0,0763126831439469;0,0224549270768319;0,3335650765126275;0,0775605791748827;0,2333435456909539;0,0940410398810017;0
GUY;Guyana;0,3177114620853631;0,0659197773287969;0,1216921089094279;0,0737302549523315;0,1639285957088032;0,0260265481937546;0,1522993108789361;0,0786919419425862;1
HKG;Hong Kong;0,0006495328308286;0,0350013407888694;0,0063260202326213;0,033909655338936;0,6401767309476177;0,0229731500405726;0,1620652202870636;0,0988983495334906;0
HND;Honduras;0,3101483539291559;0,055375027720726;0,0004162308559978;0,0834338404366303;0,1550670922262939;0,06310457708784;0,1921758484236193;0,1402790293197365;2
HRV;Croatia;0,1082348182294761;0,1267363169856211;0,0616540860578329;0,0904809096486667;0,1289262749875076;0,1701560029883882;0,2421478975697753;0,0716636935327317;5
HTI;Haiti;0,3142359960669046;0,0806889069130816;0,2801042928289451;0,0440240516305197;0,0647307797977895;0,0332681705463887;0,0990431928688862;0,0839046093474843;1
HUN;Hungary;0,1195091590727813;0,1841278387774769;0,0736912860997927;0,0882910264210339;0,1740608892142706;0,0964606039530418;0,1881229117046807;0,0757362847569217;7
IDN;Indonesia;0,143291390764807;0,0343753959902667;0,2216378861985296;0,1298114245478732;0,2189796609830822;0,0624710724309321;0,1395918110449263;0,0498413580395826;5
IND;India;0,2143342517864554;0,0630670014435007;0,0496664136873891;0,156346296330791;0,3266441466681322;0,0706085240583358;0,0806758287770382;0,0386575372483573;5
IRL;Ireland;0,3669575468124149;0,1354018901158444;0,0265485787255026;0,0559686841591092;0,1647840642025181;0,0464923686520651;0,1714674207594536;0,032379446573092;7
IRN;Iran;0,0447543717269737;0,1721377345863154;0,2103097959768316;0,1202259331774971;0,1913333349332512;0,0846311007964082;0,1609437892459971;0,0156639395567252;7
IRQ;Iraq;0,0231814990323484;0,0305968079979544;0,5325736936831592;0,0360510271548326;0,2002479377307128;0,0427638205339931;0,1018561780245728;0,0327290358424264;4
ISL;Iceland;0,1229901733552131;0,1297985746262538;2,148838714805338e-07;0,0553675437856698;0,0011415438464015;0,4338854066732312;0,1999745879706958;0,0568419548586629;6
ISR;Israel and Palestine, State of;0,0347354336317207;0,0292555173206785;0,0284355185713998;0,0463023725765474;0,4542279809895869;0,1077226179939039;0,2133787641774931;0,0859417947386694;0
ITA;Italy, San Marino and the Holy See;0,0753603912651966;0,1705084702461968;0,0439992647143861;0,0866961292875416;0,2425917760048908;0,0941292706620456;0,2405183150894478;0,0461963827302943;7
JAM;Jamaica;0,0724470731745209;0,0554447524786425;0,0156937088319512;0,215483497227154;0,3012877375638511;0,0688844989372863;0,2356746211917424;0,0350841105948513;5
JOR;Jordan;0,0350007354586037;0,0818223851123498;0,0177863760524871;0,0601388647958961;0,2979137287270291;0,1349522487777038;0,2409862634664217;0,1313993976095085;0
JPN;Japan;0,0361924209302076;0,1027523267681401;0,0472630925777224;0,1522277753593985;0,4192745899935611;0,0685416032514444;0,1632620653641181;0,0104861257554076;5
